n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,best_iteration,train_auc,valid_auc
200,3,0.05,1.0,0.8,0.8,0.0,195,0.9548,0.9317
200,3,0.05,1.0,0.8,0.8,1.0,195,0.9530,0.9315
200,3,0.05,1.0,0.8,1.0,0.0,199,0.9552,0.9299
200,3,0.05,1.0,0.8,1.0,1.0,193,0.9506,0.9264
200,3,0.05,1.0,1.0,0.8,0.0,198,0.9482,0.9235
200,3,0.05,1.0,1.0,0.8,1.0,197,0.9471,0.9220
200,3,0.05,1.0,1.0,1.0,0.0,199,0.9490,0.9210
200,3,0.05,1.0,1.0,1.0,1.0,199,0.9489,0.9243
200,3,0.05,3.0,0.8,0.8,0.0,199,0.9549,0.9337
200,3,0.05,3.0,0.8,0.8,1.0,198,0.9501,0.9280
200,3,0.05,3.0,0.8,1.0,0.0,198,0.9519,0.9264
200,3,0.05,3.0,0.8,1.0,1.0,198,0.9517,0.9285
200,3,0.05,3.0,1.0,0.8,0.0,198,0.9494,0.9241
200,3,0.05,3.0,1.0,0.8,1.0,199,0.9443,0.9200
200,3,0.05,3.0,1.0,1.0,0.0,198,0.9469,0.9238
200,3,0.05,3.0,1.0,1.0,1.0,196,0.9480,0.9248
200,3,0.1,1.0,0.8,0.8,0.0,199,0.9780,0.9444
200,3,0.1,1.0,0.8,0.8,1.0,193,0.9774,0.9467
200,3,0.1,1.0,0.8,1.0,0.0,199,0.9784,0.9420
200,3,0.1,1.0,0.8,1.0,1.0,198,0.9763,0.9415
200,3,0.1,1.0,1.0,0.8,0.0,196,0.9739,0.9423
200,3,0.1,1.0,1.0,0.8,1.0,198,0.9715,0.9362
200,3,0.1,1.0,1.0,1.0,0.0,199,0.9746,0.9380
200,3,0.1,1.0,1.0,1.0,1.0,199,0.9716,0.9355
200,3,0.1,3.0,0.8,0.8,0.0,199,0.9766,0.9404
200,3,0.1,3.0,0.8,0.8,1.0,195,0.9763,0.9449
200,3,0.1,3.0,0.8,1.0,0.0,193,0.9773,0.9425
200,3,0.1,3.0,0.8,1.0,1.0,193,0.9749,0.9417
200,3,0.1,3.0,1.0,0.8,0.0,199,0.9681,0.9286
200,3,0.1,3.0,1.0,0.8,1.0,199,0.9710,0.9385
200,3,0.1,3.0,1.0,1.0,0.0,191,0.9737,0.9448
200,3,0.1,3.0,1.0,1.0,1.0,197,0.9697,0.9376
200,4,0.05,1.0,0.8,0.8,0.0,195,0.9809,0.9491
200,4,0.05,1.0,0.8,0.8,1.0,199,0.9812,0.9525
200,4,0.05,1.0,0.8,1.0,0.0,196,0.9820,0.9520
200,4,0.05,1.0,0.8,1.0,1.0,198,0.9799,0.9514
200,4,0.05,1.0,1.0,0.8,0.0,198,0.9792,0.9495
200,4,0.05,1.0,1.0,0.8,1.0,199,0.9749,0.9454
200,4,0.05,1.0,1.0,1.0,0.0,199,0.9790,0.9475
200,4,0.05,1.0,1.0,1.0,1.0,197,0.9772,0.9473
200,4,0.05,3.0,0.8,0.8,0.0,193,0.9777,0.9492
200,4,0.05,3.0,0.8,0.8,1.0,180,0.9758,0.9503
200,4,0.05,3.0,0.8,1.0,0.0,198,0.9788,0.9504
200,4,0.05,3.0,0.8,1.0,1.0,196,0.9769,0.9498
200,4,0.05,3.0,1.0,0.8,0.0,199,0.9755,0.9469
200,4,0.05,3.0,1.0,0.8,1.0,199,0.9733,0.9426
200,4,0.05,3.0,1.0,1.0,0.0,199,0.9757,0.9452
200,4,0.05,3.0,1.0,1.0,1.0,198,0.9723,0.9425
